spec_code,box,square,locus,basket,layer,taxon,element,zone,,sub.element,side,DR<50%,DR>50%,feature,scan_site,epifusion,TWS,length(mm),colour,Mn_stain,ToolMarks,Binford_code,burn,animal_mod,pit_mm,wthr,frctr,abrasion,trampling,rootetch,MWII,MWS_location,crown_height,notes,length,breadth,depth,other
NR-0180,5,,117,1162,7a,aves,ulna,,,shaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0181,5,,117,1162,7a,gazella,cranium,CR2,,occipital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0182,5,,117,1162,7a,capra,cranium,CR4,,petrosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0183,5,,117,1162,7a,gazella,phalanx_3,"P31,P32",,,,,"1,2",,P31,,,,,,,,,,,,,,,,,,,,"DLS=25.9, Ld=25.8",MBS=4.1,,
NR-0184,5,,117,1162,7a,gyps,phalanx_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0185,5,,117,1162,7a,bovid_2,vert_l,LU1,,,,2,,,,pUE,,,,,,,,,,,,,,,,,,,,,,
NR-0186,5,,117,1162,7a,gazella,phalanx_3,"P31,P32",,,,,"1,2",,P31,,,,,,,,,,,,,,,,,,,,DLS=26.6; Ld=25.8,MBS=4.9,,
NR-0187,5,,117,1162,7a,bovid_2,metacarpal,MP2,,,,5,,,MC2,,,,,,,,,,,,,,,,,,,,,,,
NR-0188,5,,117,1162,7a,capra,mandible,i,,incisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0189,5,,117,1162,7a,bovid_2,rib,RI4,,,,3,,,RI5,,,,,,,,,,,,,,,,,,,,,,,
NR-0190,5,,117,1162,7a,bovid_2,vert_t,TH1,,,,2,,,,pUE,,,,,,,,,,,,,,,,,,,,,,
NR-0191,5,,117,1162,7a,gazella,astragalus,AS2,,,,,"3,4",,"AS2, AS3",,,,,,,,,,,,,,,,,,,,,,,
NR-0192,5,,117,1162,7a,capra,phalanx_2,"P22,P23",,,,"1,2",3,,"P22,P23",dF,,,,,,,,,,,,,,,,,,split,Bd=11.6,,,
NR-0193,5,,117,1162,7a,capra,calcaneus,"CA2,CA4",,,,2,3,,CA3,,,,,,,,,,,,,,,,,,,,,,,
NR-0194,5,,117,1162,7a,bovid_2,mandible,DN4,,ramus,,5,,,DN4,,,,,,,,,,,,,,,,,,,,,,,
NR-0195,5,,103,1102,2,bovid_2,vert_l,"LU1, LU2",,,,,"1,2",,"LU1, LU2",pUM,,,,,,,,,,,,,,,,,,,,,,
NR-0196,5,,117,1162,7a,gazella,phalanx_3,"P31,P32",,,,,"1,2",,P31,,,,,,,,,,,,,,,,,,,,DLS=23.3; Ld=18.4,MBS=5,,
NR-0197,5,,117,1162,7a,bovid_2,rib,RI3,,,,,2,,RI3,,,,,,,,,,,,,,,,,,,,,,,
NR-0198,5,,117,1162,7a,gazella,phalanx_1,"P12,P13",,,,2,3,,P13,,,,,,,,,,,,,,,,,,,,,Bd=8.5,,
NR-0199,5,,117,1162,7a,bovid_2,vert_t,TH2,,,,,4,,TH2,,,,,,,,,,,,,,,,,,,,,,,
NR-0200,5,,117,1162,7a,capra,calcaneus,"CA2,CA4",,,right,2,3,,CA3,,,,,,,,,,,,,,,,,,,,,,,
NR-0201,5,,117,1162,7a,dama,radius,"RA1,RA2",,,,5,1,,RA1,pF,,,,,,,,,,,,,,,,,,,,,,
NR-0202,5,,117,1162,7a,bovid_2,rib,RI4,,,,,3,,RI5,,,,,,,,,,,,,,,,,,,,,,,
NR-0203,5,,117,1162,7a,bovid_2,tibia,TI2,,,,7,,,TI2,,,,,,,,3,,,,,,,,,,,,,,,
NR-0204,5,,117,1162,7a,bovid_2,humerus,HU3,,,,"7,8",,,HU3,,,,,,,,,,,,,,,,,,,,,,,
NR-0205,5,,117,1162,7a,gazella,ulna,"UL1,UL2",,,,b,c,,"UL2,UL3",,,,,,,,,,,,,,,,,,,,BPC=11.9,,,
NR-0206,5,,117,1162,7a,gazella,vert_c,TH1,,,,2,,,TH1,,,,,,,,,,,,,,,,,,,,,,,
NR-0207,5,,117,1162,7a,bovid_2,carpal,scaphoid,,scaphoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0208,5,,114,1137,7b,fulica,coracoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0209,5,,117,1162,7a,bovid_2,phalanx_2,PH23,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0210,5,,117,1162,7a,capra,phalanx_3,PH31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0211,5,,117,1162,7a,gazella,phalanx_2,"PH21,PH22",,,,2,1,,,pF,,,,,,,,,,,,,,,,,,,,,,
NR-0212,5,,117,1162,7a,gazella,mandible,m1/2,,M1/2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
NR-0213,5,,117,1162,7a,bovid_2,vert_l,LU1,,,,,1,,,pF,,,,,,,,,,,,,,,,,,,,,,
NR-0214,5,,117,1162,7a,gazella,phalanx_2,PH23,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0215,5,,117,1162,7a,bovid_2,tibia,TI2,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0216,5,,117,1162,7a,gazella,mandible,m3,,M3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
NR-0217,5,,114,1137,7b,bovid_2,femur,FE5,,,,,8,,,dUM,,,,,,,,,,,,,,,,,,,,,,
NR-0218,5,,114,1137,7b,capra,mandible,DN2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0219,5,,117,1178,7a,sekeetamys,humerus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0220,6,,114,1137,7b,bovid_2,radius,RA2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0221,6,,116,1152,8,bovid_2,scapula,SP4,,,,,6,,,,,,,,,,,,,,,,,,,,,burnt 3,,,,
NR-0222,6,,117,1162,7a,bovid_2,tibia,TI2,,,,7,,,,,,,,,,,,,,,,,,,,,,2 nutrient foramina,,,,
NR-0223,6,,114,1137,7b,capra,mandible,DN6,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0224,6,,114,1137,7b,gazella,metatarsal,MP4,,,,,"7,8",,,,,,,,,,,,,,,,,,,,,,,,,
NR-0225,6,,114,1137,7b,bovid_2,vert_t,TH2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0226,6,,114,1137,7b,capra,maxilla,P4,,P4,,,,,,,active_wear,,,,,,,,,,,,,,,,,,,,,
NR-0227,6,,114,1137,7b,bovid_2,rib,"RI1,RI3",,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0228,6,,114,1137,7b,lepus,radius,"RA1,RA2",,,,5,1,,,pF,,,,,,,,,,,,,,,,,,,,,,
NR-0229,6,,114,1137,7b,bovid_2,tibia,TI3,,,,"8,9",,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0230,6,,114,1137,7b,canis,vert_t,TH1,,,,"1,2",,,,pF,,,,,,,,,,,,,,,,,,,,,,
NR-0231,6,,114,1137,7b,capra,mandible,DN4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0232,6,,114,1137,7b,bovid_2,tibia,TI4,,,,"9,10",,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0233,6,,114,1137,7b,bovid_2,femur,"FE4,FE5",,,,"6,7,8",,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0234,6,,114,1137,7b,bovid_2,metacarpal,"MP1,MP2",,,,"2,3",1,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0235,6,,114,1137,7b,bovid_2,humerus,HU4,,,,"7,8",,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0236,6,,114,1137,7b,bovid_2,scapula,SP2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0237,6,,114,1137,7b,bovid_2,rib,RI4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0238,6,,114,1137,7b,gazella,phalanx_1,"PH11,PH12",,,,2,1,,,pF,,,,,,,,,,,,,,,,,,,,Bp=8.8,Pd=13.5,
NR-0239,6,,114,1137,7b,bovid_2,mandible,DN6,,,,,5,,,,,,,,,,,,,,,,,,,,,cf. capreolus,,,,
NR-0240,6,,117,1178,7a,lepus,phalanx_1,"PH11,PH12,PH13",,,,,,,,pF,,21,reddish_black,1,,,,,,,,,,,,,,,GL-=21.3,Bd=4/6 bp=5.1,,
NR-0241,6,,114,1137,7b,capra,mandible,m1/2,,M1,,,,,,,slight_wear,,reddish,1,,M1,,,,,,,,,,,,right,,,,
NR-0242,6,,,,uncertain,bovid_2,calcaneus,CA1,,,,1,,,,pF,,18.7,gray_white,1,,,3,,,,,,,,,,,,,,,
NR-0243,6,,114,1137,7b,bovid_2,metapodial,MP3,,,,"5,7",,,,,,43.6,reddish,1,,,,,,,mixed-1,,,,,,,,,,,
NR-0244,6,,114,1137,7b,bovid_2,phalanx_1,"PH11,PH12",,,,,"1,2",,,pF,,23.8,reddish,1,,,,,,,mixed-1,,,,,,,,,Bp=1.08 Bd=12.9,,
NR-0246,6,,114,1137,7b,bovid_2,metapodial,MP2,,,,,"5,6",,,,,26.6,black,,,,2,,,,mixed-1,,,,,,,,,,,
NR-0247,6,,114,1137,7b,bovid_2,femur,FE4,,,,,6,,,,,46.3,light,1,,,,,,,mixed-1,,,,,,,,,,,
NR-0248,6,,114,1137,7b,bovid_2,rib,RI4,,,,,3,,,,,22.8,reddish_black,,cut,,2,,,,mixed-2,,,,,,,,,,,
NR-0249,6,,117,1162,7a,capra,phalanx_1,"PH11,PH12",,,,2,1,,,pF,,29.4,light,1,,,,,,,green-2,,,,,,,,,Bp=14.9,,
NR-0250,6,,114,1137,7b,gazella,phalanx_1,"PH11,PH12",,,,2,1,,,pF,,18.19,light,,,,,,,,mixed-1,,,,,,,,,Bp=9.9,,
NR-0251,6,,,,uncertain,bovid_2,mandible,DN8,,,,,4,,,,,30.7,light,1,,,,,,,,,,,,,,right,,,,
NR-0252,6,,114,1137,7b,bovid_2,mandible,DN6,,,,,5,,,,,17.7,black,,,,2,,,,mixed-1,,,,,,,left,,,,
NR-0253,6,,117,1162,7a,bovid_2,vert_l,LU1,,,,,"2,1",,,,,,light,,percussion,,,,,,,,,,,,,,,,,
NR-0254,6,,114,1137,7b,capra,phalanx_1,"PH12,PH13",,,,2,3,,,dF,,25.9,reddish,1,,,,,,,mixed-2,,,,,,,,,Bd=14.6,Dd=13.1,
NR-0255,6,,114,1137,7b,bovid_2,calcaneus,"CA1,CA2,CA4",,,,4,"1,2,3,5",,,,,47.9,reddish_black,1,,,,,,,,,,,,,,,,,,
NR-0256,6,,114,1137,7b,bovid_2,vert_t,TH1,,,,1,,,,,,22.6,reddish_black,1,,,1,,,,mixed-2,,,,,,,,,,,
NR-0257,6,,117,1178,7a,capra,maxilla,M3,,M3,,,,,,,active_wear,39.8,light,,,,,,,,,,,,,,,,,,,
NR-0258,6,,117,1162,7a,gazella,humerus,HU5,,,,,"6,5,3,4",,,dF,,35.8,reddish,,,,,,,,green-1,,,,,,broken,right,,BT=23.3,HTC=14.4,
NR-0259,6,,114,1137,7b,bovid_2,vert_l,LU1,,,,,2,,,,,17.2,reddish,,,,,,,,dry-2,,,,,,,,,,,
NR-0260,6,,114,1137,7b,bovid_2,mandible,"DN7,DN8",,,,,"4,5",,,,,32,reddish,1,percussion,,,,,,dry-2,,,,,,,,,,,
NR-0261,6,,117,1178,7a,capra,phalanx_3,PH31,,,,,1,,,,,18.5,reddish,,,,,,,,,,,,,,,,,GB=10.1,,
NR-0262,6,,114,1175,7b,bovid_2,scapula,SP4,,,,,"6,7",,,,,29.3,black,,,,2,,,,mixed-2,,,,,,,,,,,
NR-0263,6,,114,1175,7b,capra,mandible,"m3,DN4",,M3,,,1,,,,no_wear,33.7,reddish,1,,,,,,,mixed-2,,,,,,,left,,,,
NR-0264,6,,114,1175,7b,capra,vert_t,TH1,,,,,"1,2",,,,,24.3,reddish,1,percussion,,,,,,,,,,,,,long split,,,,
NR-0265,6,,114,1175,7b,capra,tibia,TI3,,,,,"8,9",,,,,113.5,light,,,,,,,,dry-2,,,,,,,,,,,
NR-0266,6,,114,1137,7b,gazella,phalanx_1,"PH11,PH12",,,,2,1,,,pF,,21.4,reddish,,,,,,,,green-1,,,,,,,,,Bp=10.1,Dp=11.4,
NR-0267,6,,114,1137,7b,capra,metatarsal,"MP1,MP2",,,,"2,6",,,,pF,,41.8,reddish,1,,,,,,,green-1,,,,,,,,,,,
NR-0268,6,,114,1137,7b,bovid_2,maxilla,M2,,M2,,,,,,,slight_wear,30.1,reddish,,,,,,,,,,,,1,,,,,,,
NR-0269,6,,114,1137,7b,capra,metacarpal,"MP1,MP2",,,,6,2,,,pF,,28.7,reddish,,,,,,,,mixed-1,,,,,,,left,,,,
NR-0270,6,,117,1178,7a,gazella,phalanx_2,"PH21,PH22",,,,"1,2",,,,pF,,23.6,light,,butchery,,,,,,green-2,,,,,,,split in 2,,,,
NR-0271,6,,117,1178,7a,capra,tibia,TI2,,,,"7,8",,,,,,53.1,reddish,1,,,,,,,green-1,,,,,,,dabel netrient foramina,,,,
NR-0272,6,,114,1137,7b,bovid_2,femur,FE6,,,,6,,,,,,39,reddish,,,,,,,,green-1,,extensive,,,,,,,B=15.5,,
NR-0273,6,,116,1152,8,gazella,phalanx_3,PH31,,,,,1,,,,,16.8,light,,,,,,,,,,,,,,,,,GB=7.1,,
NR-0274,6,,114,1137,7b,bovid_2,femur,FE6,,,,6,,,,,,35.3,reddish,1,,,,,,,green-2,,,,,,,,,,,
NR-0275,6,,114,1137,7b,bovid_2,tibia,TI2,,,,"7,8",,,,,,72.5,reddish,1,,,,,,,green-2,,,,,,,,,,,
NR-0276,6,,114,1137,7b,bovid_2,tibia,"TI2,TI3",,,,"7,8,9",,,,,,81.6,reddish,1,,,,,,,mixed-2,,,,,,,,,,,
NR-0277,6,,116,1152,8,bovid_2,humerus,HU4,,,,8,7,,,,,30.1,reddish,1,,,,,,,mixed-1,,some,,,,,,,,,
NR-0278,6,,117,1178,7a,bovid_2,tibia,TI2,,,,"7,8",,,,,,89.5,reddish,,,,1,,,,green-2,,,,,,,,,,,
NR-0279,6,,117,1178,7a,capra,mandible,"DN4,DN6",,,,"1,6",,,,,,54.5,reddish,,,,,,,,dry-1,,,,,,,,,,,
NR-0280,6,,114,1137,7b,bovid_2,mandible,DN7,,,,5,,,,,,34.7,reddish,1,,,,,,,,,,,,,,,,,,
NR-0281,6,,117,1162,7a,bovid_2,humerus,HU4,,,,,"7,8",,,,,46.6,reddish,1,,,,,,2,green-2,,,,,,,left,,,,
NR-0282,6,,114,1137,7b,bovid_2,femur,FE5,,,,8,,,,,,52.5,light,,,,,,,2,green-2,,,,,,,,,,,
NR-0283,6,,114,1137,7b,gazella,pelvis,PU1,,pubis,,8,3,,,,,29.3,reddish,1,cut,,,,,,dry-1,,,,,,,right female,,,,
NR-0284,6,,114,1137,7b,bovid_2,vert_c,CE2,,,,4,,,,,,11.5,reddish,,,,,,,,green-2,,,,,,,right,,,,
NR-0285,6,,117,1162,7a,bovid_2,tibia,TI2,,,,7,,,,,,54.4,reddish,1,,,,,,,green-2,,some,,,,,,,,,
NR-0286,6,,114,1137,7b,bovid_2,femur,"FE4,FE5",,,,"6,8",7,,,,,66.2,reddish,1,,,,,,,mixed-2,,,,,,,,,,,
NR-0287,6,,116,1152,8,bovid_2,tibia,TI3,,,,8,,,,,,39.2,reddish,,,,,,,,mixed-1,,,,,,,,,,,
NR-0288,6,,114,1137,7b,capra,phalanx_3,"PH31,PH32",,,,"1,2",,,,,,26.1,reddish,,,,,,,,,,,,,,,,,GB=9.9,,
NR-0289,6,,114,1137,7b,bovid_2,femur,FE5,,,,7,,,,,,50.2,reddish,1,,,,,,,green-2,,,,,,,,,,,
NR-0292,6,,114,1137,7b,bovid_2,tibia,TI3,,,,"8,9",,,,,,53.6,light,,,,,,,,,,,,,,,,,,,
NR-0293,6,,109,1160,5,bovid_2,vert_t,TH1,,,,"2,3?",,,,,,38.8,light,,,,,,,,,,,,,,,,,,,
NR-0294,6,,114,1137,7b,gazella,pelvis,AC1,,ilium,,,1,,,,,21.1,reddish,1,,,,,,,,,,,,,,right,,,,
NR-0295,6,,114,1137,7b,capra,metatarsal,"MP1,MP5",,,,"1,5",,,,,,42.7,reddish,,,,,,,,green-2,,,,,,,right,,,,
NR-0296,6,,114,1175,7b,bovid_2,rib,RI4,,,,3,,,,,,65.5,reddish,1,,,,,,,,,,,,,,,,,,
NR-0297,6,,114,1175,7b,bovid_2,rib,"RI3,RI4",,,,3,2,,,,,88.5,reddish,,,,,,,,,,,,,,,,,,,
NR-0298,6,,114,1175,7b,bovid_2,femur,FE4,,,,6,,,,,,,black,,,,2,,,,green-2,,,,,,,,,,,
NR-0299,6,,114,1175,7b,bovid_2,vert_l,"LU1,LU2",,,,"2,3,4",,,,,,28.6,reddish,,,,,,,,,,,,,,,,,,,
NR-0300,6,,114,1175,7b,capra,metatarsal,MP4,,,,,"8,7",,,,,57.7,reddish,1,,,,,,,mixed-2,,,,,,,,,,,
NR-0301,6,,115,1092,6,bovid_2,rib,RI2,,,,1,,,,,,28.5,reddish,,,,,,,,,,,,,,,,,,,
NR-0302,6,,114,1175,7b,bovid_2,vert_t,TH1,,,,1,,,,,,30.2,reddish,1,,,,,,,,some,,,,,,,,,,
NR-0303,6,,114,1175,7b,bovid_2,patella,PA1,,,,,,,,,,33.3,reddish,,,,,,,,,,,,,,,,,,,
NR-0304,6,,114,1137,7b,capra,metacarpal,MP1,,,,1,,,,,,40.5,reddish,1,,,,,,,green-2,,,,,,,left,,,,
NR-0305,6,,117,1178,7a,bovid_2,humerus,"HU3,HU4",,,,"7,9",,,,,,60,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0306,6,,117,1162,7a,bovid_2,femur,FE5,,,,8,,,,,,41.1,reddish,,,,,,,,mixed-2,,,,,,,right,,,,
NR-0307,6,,114,1175,7b,bovid_2,humerus,HU4,,,,"8,7",,,,,,40.5,reddish,2,,,,,,,green-2,,,,,,,,,,,
NR-0308,6,,115,1158,6,bovid_2,rib,RI2,,,,,1,,,,,28.5,reddish,,,,,,,,,,,,,,,,,,,
NR-0309,6,,109,1185,5,bovid_2,femur,FE5,,,,8,,,,,,29.5,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0310,6,,114,1137,7b,bovid_2,tibia,TI2,,,,7,,,,,,51.8,reddish,1,,,,,,,green-2,,,,,,,,,,,
NR-0311,6,,117,1178,7a,bovid_2,tibia,TI2,,,,7,,,,,,50.5,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0312,6,,114,1137,7b,bovid_2,metacarpal,MP1,,,,"1,2",,,,,,21.2,reddish,1,,,,,,,mixed-2,some,,,,,,,,,,
NR-0313,6,,114,1175,7b,bovid_2,femur,FE4,,,,6,,,,,,42.8,reddish,1,,,,,,,mixed-2,,,,,,,(special bag ),,,,
NR-0314,6,,115,1158,6,bovid_2,tibia,TI3,,,,"8,9",,,,,,65.1,reddish_black,,,,,,,,green-2,,,,,,,,,,,
NR-0315,6,,114,1175,7b,bovid_2,metacarpal,MP1,,,,"1,2",,,,,,19.8,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0316,6,,114,1175,7b,capra,phalanx_3,"PH31,PH32",,,,2,1,,,,,25.5,reddish,,,,,,,,,,,,,,,,,,,
NR-0317,6,,114,1175,7b,capra,mandible,DN7,,,,,5,,,,,37.6,reddish,,,,,,,,mixed-2,,,,,,,right,,,,
NR-0318,6,,117,1162,7a,bovid_2,tibia,TI3,,,,8,,,,,,56.9,reddish,1,,,,,,,green-2,,,,,,,right,,,,
NR-0319,6,,114,1137,7b,capra,maxilla,M3,,M3,,1,,,,,active_wear,29.9,reddish,,,,,,,,,,,,3,,,left (special bag ),,,,
NR-0320,6,,114,1175,7b,bovid_2,mandible,"DN4,DN6",,,,"1,6",,,,,,54.6,reddish,,,,,,,,,,,,,,,,,,,
NR-0321,6,,114,1147,7b,gazella,cranium,CR3,,,,,,,,,,63.2,reddish,1,,,,,,,,,,,,,,,,,,
NR-0322,6,,109,1153,5,capra,maxilla,M3,,M3,,1,,,,,active_wear,26.8,reddish,,,,,,,,,,,,3,,,right,,,,
NR-0323,6,,114,1137,7b,capra,maxilla,M1/2,,M1,,1,,,,,late_wear,23.9,reddish,,,,,,,,,,,,4,,,right,,B=10.6 L=23.3,,
NR-0324,6,,115,1150,6,bovid_2,metatarsal,MP1,,,,1,,,,,,21.1,reddish,,,,,,,,mixed-2,,,,,,,right,,,,
NR-0326,6,,109,1186,5,bovid_2,mandible,DN7,,,,5,,,,,,27.2,reddish_black,,,,,,,,mixed-2,,,,,,,left,,,,
NR-0327,6,,109,1186,5,equus,atlas,"AT1,AT3",,,,2,,,,,,55.5,reddish,,cut,,,,,,dry-2,,,,,,,(special bag ),,,,
NR-0328,6,,115,1158,6,capra,maxilla,M1-M3,,M1/2/3,,1,,,,,,26.1,reddish,,,,,,,,,,,,,,,,,,,
NR-0329,6,,115,1158,6,capra,phalanx_3,"PH31,PH32",,,,,"1,2",,,,,26.4,reddish,,,,,,,,,,,,,,,,GL=24.7,GB=8.1,,
NR-0330,6,,115,1092,6,bovid_2,femur,FE4,,,,6,,,,,,54.1,reddish_black,,,,1,,,,green-2,,,,,,,,,,,
NR-0331,6,,115,1092,6,bovid_2,humerus,HU4,,,,"7,8",,,,,,44,reddish,1,,,,,,,green-2,,,,,,,,,,,
NR-0332,6,,109,1091,5,bovid_2,vert_l,LU1,,,,1,,,,Uf,,19.5,reddish,,,,,,,,,,,,,,,(only the ep),,,,
NR-0333,6,,114,1175,7b,bovid_2,femur,FE4,,,,6,,,,,,40.9,black,,cut,,2,,,,green-2,,,,,,,,,,,
NR-0334,6,,109,1169,5,capra,maxilla,M1/2,,M1/2,,,,,,,active_wear,27.1,reddish,,,,1,,,,,,,,3,,,left,,,,
NR-0335,6,,114,1175,7b,gazella,phalanx_3,"PH31,PH32",,,,2,1,,,,,17.8,reddish,,,,,,,,,,,,,,,,,,,
NR-0336,6,,114,1137,7b,bovid_2,femur,FE4,,,,6,,,,,,31.6,reddish,1,,,,,,,green-2,,,,,,,,,,,
NR-0337,6,,109,1186,5,bovid_2,femur,FE5,,,,7,,,,,,37.7,reddish,1,,,,,,,mixed-2,,,,,,,,,,,
NR-0338,6,,109,1160,5,gazella,phalanx_3,"PH31,PH32",,,,2,1,,,,,27.9,light,,,,3,,,,,,,,,,,,GB=7.1,,,
NR-0339,6,,109,1098,5,gazella,phalanx_3,"PH31,PH32",,,,2,1,,,,,18.4,light,,,,,,,,,,,,,,,,,,,
NR-0341,6,,109,1098,5,bovid_2,humerus,HU4,,,,"8,7",,,,,,19.9,gray_white,,,,3,,,,green-2,,,,,,,,,,,
NR-0343,6,,109,1160,5,bovid_2,tibia,TI3,,,,8,,,,,,,black,,cut,,,,,,green-2,,,,,,,,,,,
NR-0344,6,,109,1173,5,gazella,phalanx_2,"PH21,PH22,PH23",,,,,"1,2,3",,,,,,light,,,,,,,,,,,,,,,,Bp=9.1,Bd=7.1,Dd=11.2,
NR-0345,6,,115,1092,6,bovid_2,femur,"FE4,FE5",,,,"6,7",,,,,,57.4,light,,,,,,,,mixed-2,,,,,,,,,,,
NR-0346,6,,109,1168,5,bovid_2,mandible,DN4,,,,1,,,,,,,light,,,,,,,,,,,,,,,,,,,
NR-0347,6,,109,1168,5,gazella,tibia,TI3,,,,"8,9",,,,,,39.3,light,,,,,,,,green-2,,,,,,,(special bag ),,,,
NR-0348,6,,109,1173,5,gazella,phalanx_3,"PH31,PH32",,,,,"1,2",,,,,27,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0349,6,,109,1173,5,bovid_2,humerus,HU4,,,,d,,,,,,33.5,reddish,,,,,,,,,,,,,,,,GL=27.6,GB=6.5,,
NR-0350,6,,109,1168,5,bovid_2,metatarsal,"MP1,MP2",,,,"1,5",,,,pF,,32.7,reddish_black,,,,1,,,,green-2,,,,,,,R,,,,
NR-0351,6,,109,1084,5,gazella,radius,RA1,,,,,,,,pF,,53.4,reddish,,,,,,,,green-2,,,,,,,left,,,,
NR-0352,6,,115,1158,6,capra,phalanx_3,"PH31,PH32",,,,2,1,,,,,24.6,reddish,,,,,,,,,,,,,,,,,GB=10.5,,
NR-0353,6,,109,1168,5,bovid_2,vert_c,CE1,,,,"2,3",,,,,,21.4,gray_white,,,,3,,,,,,,,,,,,,,,
NR-0354,6,,114,1137,7b,bovid_2,femur,FE5,,,,"7,8",,,,,,76.4,reddish,1,,,,,,,mixed-2,,,,,,,,,,,
NR-0355,6,,114,1137,7b,bovid_2,scapula,SP4,,,,"7,6",,,,,,36.2,reddish,1,,,,,,,,,,,,,,,,,,
NR-0356,6,,114,1137,7b,bovid_2,tibia,TI3,,,,"8,9",,,,,,50,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0357,6,,114,1137,7b,bovid_2,pelvis,IL1,,ilium,,5,1,,,,,45.9,reddish,1,,,,,,,green-2,,,,,,,,,,,
NR-0358,6,,114,1137,7b,bovid_2,vert_l,LU3,,,,4,,,,,,30,reddish,,,,,,,,,,,,,,,,,,,
NR-0359,6,,117,1162,7a,gazella,tibia,TI5,,,,6,,,,dF,,46.4,reddish,1,,,,,,,mixed-2,,,,,,,left,,,,
NR-0360,6,,114,1137,7b,bovid_2,tibia,TI2,,,,7,,,,,,53.8,reddish,1,,,,,,,green-2,,,,,,,,,,,
NR-0361,6,,117,1178,7a,bovid_2,mandible,DN4,,,,1,,,,,,25.5,,,,,,,,,,,,,,,,,,,,
NR-0362,6,,115,1158,6,bovid_2,tibia,TI3,,,,8,,,,,,29.6,black,,cut,TV1,2,,,,,,,,,,,(special bag ),,,,
NR-0363,6,,109,1185,5,capra,phalanx_2,"PH22,PH23",,,,"2,3",,,,,,21.9,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0364,6,,109,1186,5,bovid_2,tibia,TI2,,,,7,,,,,,56.3,reddish,,,,1,,,,green-2,,,,,,,left,,,,
NR-0366,6,,109,1160,5,bovid_2,atlas,"AT1,AT2",,,,,,,,,,32,reddish,,,,,,,,,,,,,,,,,,,
NR-0367,6,,115,1092,6,bovid_2,femur,FE5,,,,"8,7",,,,,,46.8,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0368,6,,114,1137,7b,gazella,ulna,"UL1,UL2",,,,"C,D",,,,,,27,black,,,,2,,,,,,,,,,,left,,,,
NR-0369,6,,109,1098,5,gazella,metacarpal,"MP1,MP2",,,,"1,5",,,,,,52,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0370,6,,114,1175,7b,bovid_2,tibia,TI3,,,,"8,9",,,,,,43.6,reddish,1,,,,,,,mixed-2,some,,,,,,,,,,
NR-0371,6,,117,1178,7a,gazella,tibia,TI1,,,,7,,,,,,54.1,light,,,,,,,,mixed-2,some,,,,,,right,,,,
NR-0372,6,,115,1150,6,bovid_2,metatarsal,"MP1,MP2",,,,"2,6",,,,pF,,57.5,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0373,6,,117,1178,7a,bovid_2,tibia,TI3,,,,"8,9",,,,,,56.6,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0374,6,,117,1178,7a,gazella,radius,RA3,,,,"7,8",,,,,,56.2,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0376,6,,114,1137,7b,capra,vert_t,TH2,,,,4,,,,,,35.6,reddish,,,,,,,,,,,,,,,right (special bag ),,,,
